Hungary,Budapest
Finland,Helsinki
France,Paris
Germany,Berlin
Spain,Madrid
Italy,Rome
Portugal,Lisbon
Poland,Warsaw
Austria,Vienna
Greece,Athens
Sweden,Stockholm
Norway,Oslo
Denmark,Copenhagen
Belgium,Brussels
Netherlands,Amsterdam
Switzerland,Bern
Ireland,Dublin
Czech Republic,Prague
Romania,Bucharest
Croatia,Zagreb
Serbia,Belgrade
Bulgaria,Sofia
Slovakia,Bratislava
Slovenia,Ljubljana
Lithuania,Vilnius
Latvia,Riga
Estonia,Tallinn
Ukraine,Kyiv
Iceland,Reykjavik
Albania,Tirana
North Macedonia,Skopje
Montenegro,Podgorica
Moldova,Chisinau
Luxembourg,Luxembourg City
Malta,Valletta
Bosnia and Herzegovina,Sarajevo
Japan,Tokyo
China,Beijing
South Korea,Seoul
India,New Delhi
Thailand,Bangkok
Vietnam,Hanoi
Indonesia,Jakarta
Philippines,Manila
Malaysia,Kuala Lumpur
Turkey,Ankara
Iran,Tehran
Iraq,Baghdad
Saudi Arabia,Riyadh
Israel,Jerusalem
Egypt,Cairo
South Africa,Pretoria
Nigeria,Abuja
Kenya,Nairobi
Ethiopia,Addis Ababa
Morocco,Rabat
Ghana,Accra
Tanzania,Dodoma
Australia,Canberra
New Zealand,Wellington
Canada,Ottawa
Mexico,Mexico City
Brazil,Brasilia
Argentina,Buenos Aires
Colombia,Bogota
Chile,Santiago
Peru,Lima
Cuba,Havana
Jamaica,Kingston
Venezuela,Caracas
Ecuador,Quito
Bolivia,Sucre
Uruguay,Montevideo
Paraguay,Asuncion
Panama,Panama City
Costa Rica,San Jose
Pakistan,Islamabad
Bangladesh,Dhaka
Nepal,Kathmandu
Sri Lanka,Sri Jayawardenepura Kotte
Myanmar,Naypyidaw
Cambodia,Phnom Penh
Laos,Vientiane
Mongolia,Ulaanbaatar
Afghanistan,Kabul
Jordan,Amman
Lebanon,Beirut
Syria,Damascus
Qatar,Doha
Bahrain,Manama
Kuwait,Kuwait City
Oman,Muscat
Yemen,Sanaa
Libya,Tripoli
Tunisia,Tunis
Algeria,Algiers
Sudan,Khartoum
Uganda,Kampala
Rwanda,Kigali
Mozambique,Maputo
Zimbabwe,Harare
Zambia,Lusaka
Angola,Luanda
